,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,pickup
0,17/05/2022 12:55:57,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:58,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:00,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:02,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:03,18.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:05,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:06,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:08,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:09,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:11,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:13,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:14,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:16,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:17,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:19,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:20,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:22,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:23,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:25,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:27,19.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:28,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:30,30.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:31,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:33,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:34,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:36,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:38,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:39,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:41,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:42,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:44,26.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:45,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:47,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:49,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:50,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:52,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:53,21.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:55,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:56,16.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:58,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:00,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:01,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:03,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:04,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:06,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:07,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:09,26.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:11,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:12,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:14,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:15,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:17,21.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:18,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:20,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:22,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:23,18.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:25,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:26,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:28,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:29,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:31,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:32,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:34,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:36,28.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:37,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:39,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:40,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:42,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:43,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:45,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:47,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:48,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:50,29.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:51,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:53,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:54,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:56,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:58,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:59,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:01,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:02,25.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:04,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:05,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:07,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:09,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:10,21.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:12,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:13,19.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:15,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:16,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:18,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:19,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:21,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:23,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:24,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:26,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:27,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:29,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:30,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:32,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:34,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:35,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:37,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:38,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:40,21.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:41,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:43,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:45,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:46,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:48,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:49,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:51,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:52,26.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:54,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:56,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:57,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:59,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:00,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:02,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:03,20.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:05,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:06,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:08,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:10,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:11,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:13,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:14,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:16,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:18,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:19,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:21,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:22,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:24,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:25,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:27,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:28,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:30,18.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:32,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:33,21.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:35,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:36,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:38,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:39,25.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:41,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:43,20.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:44,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:46,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:47,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:49,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:50,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:52,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:54,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:55,20.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:57,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:59:58,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:00,21.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:01,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:03,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:05,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:06,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:08,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:09,27.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:11,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:12,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:14,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:15,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:17,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:19,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:20,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:22,28.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:23,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:25,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:26,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:28,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:30,20.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:31,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:33,27.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:34,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:36,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:37,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:39,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:41,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:42,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:44,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:45,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:47,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:48,25.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:50,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:52,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 13:00:53,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
